Data Series,Total Casualties Fatalities (Number),Total Casualties Fatalities -> Pedestrians (Number),Total Casualties Fatalities -> Personal Mobility Device Users (Number),Total Casualties Fatalities -> Cyclists & Pillions (Number),Total Casualties Fatalities -> Motor Cyclists & Pillion Riders (Number),Total Casualties Fatalities -> Motor Cars And Station Wagons (Number),Total Casualties Fatalities -> Goods Vans & Pick-Ups (Number),Total Casualties Fatalities -> Goods Vans & Pick-Ups -> Goods Vans (Number),Total Casualties Fatalities -> Goods Vans & Pick-Ups -> Pick-Ups (Number),"Total Casualties Fatalities -> Lorries, Tipper Trucks & Trailers (Number)","Total Casualties Fatalities -> Lorries, Tipper Trucks & Trailers -> Lorries (Number)","Total Casualties Fatalities -> Lorries, Tipper Trucks & Trailers -> Tipper Trucks (Number)","Total Casualties Fatalities -> Lorries, Tipper Trucks & Trailers -> Trailers (Number)",Total Casualties Fatalities -> Buses (Number),Total Casualties Fatalities -> Others (Number),Total Casualties Injured (Number),Total Casualties Injured -> Pedestrians (Number),Total Casualties Injured -> Personal Mobility Device Users (Number),Total Casualties Injured -> Cyclists & Pillions (Number),Total Casualties Injured -> Motor Cyclists & Pillion Riders (Number),Total Casualties Injured -> Motor Cars And Station Wagons (Number),Total Casualties Injured -> Goods Vans & Pick-Ups (Number),Total Casualties Injured -> Goods Vans & Pick-Ups -> Goods Vans (Number),Total Casualties Injured -> Goods Vans & Pick-Ups -> Pick-Ups (Number),"Total Casualties Injured -> Lorries, Tipper Trucks & Trailers (Number)","Total Casualties Injured -> Lorries, Tipper Trucks & Trailers -> Lorries (Number)","Total Casualties Injured -> Lorries, Tipper Trucks & Trailers -> Tipper Trucks (Number)","Total Casualties Injured -> Lorries, Tipper Trucks & Trailers -> Trailers (Number)",Total Casualties Injured -> Buses (Number),Total Casualties Injured -> Others (Number)
2023,136,39,2,14,68,6,3,3,0,2,1,0,1,2,0,8931,849,63,560,4222,2311,239,227,12,477,452,14,11,194,16
2022,108,33,0,11,47,6,1,1,0,7,6,1,0,3,0,8441,659,53,724,4229,1949,187,180,7,379,351,12,16,238,23
2021,107,23,3,11,50,12,3,3,0,4,4,0,0,1,0,7240,605,46,763,3693,1445,192,181,11,345,321,15,9,128,23
2020,83,18,0,7,49,4,2,2,0,3,3,0,0,0,0,6669,642,51,563,3381,1446,163,156,7,243,226,10,7,168,12
2019,118,39,2,8,64,1,0,0,0,3,2,1,0,1,0,9833,979,197,452,5010,2289,159,147,12,449,416,20,13,276,22
2018,124,39,1,9,61,10,3,3,0,1,1,0,0,0,0,10018,877,162,499,4839,2537,180,171,9,547,500,32,15,350,27
2017,121,41,4,15,44,9,2,2,0,5,5,0,0,1,0,9953,903,95,589,4803,2485,199,196,3,524,497,21,6,333,22
2016,141,47,na,20,62,8,1,1,0,3,2,0,1,0,0,10687,1065,na,594,5102,2698,235,224,11,540,493,32,15,415,38
2015,151,43,na,17,72,7,2,2,0,8,7,0,1,2,0,10412,973,na,606,4928,2746,219,203,16,554,514,29,11,358,28
2014,155,45,na,15,74,12,2,1,1,6,6,0,0,0,1,9858,883,na,503,4634,2686,193,185,8,578,520,38,20,342,39
2013,160,43,na,15,73,16,3,3,0,9,9,0,0,1,0,9751,989,na,436,4383,2811,226,206,20,647,586,40,21,243,16
2012,168,44,na,16,76,14,0,0,0,11,9,2,0,4,3,10253,1069,na,442,4800,2782,234,213,21,574,526,35,13,320,32
2011,195,49,na,15,99,15,1,1,0,15,14,1,0,1,0,10611,1049,na,513,5003,2982,258,240,18,531,486,33,12,245,30
2010,193,55,na,16,89,14,3,3,0,9,9,0,0,2,5,11328,1057,na,562,5490,2839,282,258,24,580,555,17,8,481,37
2009,183,45,na,17,92,12,5,5,0,8,7,1,0,3,1,10886,1073,na,569,5304,2794,278,253,25,472,430,24,18,361,35
2008,221,62,na,22,108,23,0,na,na,5,na,na,na,1,0,10760,1114,na,585,5218,2562,304,na,na,525,na,na,na,329,123
2007,214,58,na,22,102,21,2,na,na,7,na,na,na,2,0,10352,1036,na,519,5358,2320,265,na,na,463,na,na,na,298,93
2006,190,42,na,14,102,18,4,na,na,9,na,na,na,0,1,9706,924,na,493,4943,2306,222,na,na,392,na,na,na,303,123
2005,173,41,na,18,95,8,4,na,na,7,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2004,193,46,na,17,95,23,4,na,na,6,na,na,na,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2003,212,64,na,17,94,27,4,na,na,5,na,na,na,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2002,199,49,na,16,101,21,4,na,na,3,na,na,na,2,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2001,194,54,na,12,88,25,3,na,na,7,na,na,na,1,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2000,213,59,na,15,99,22,4,na,na,10,na,na,na,2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1999,198,56,na,19,85,30,0,na,na,7,na,na,na,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1998,221,67,na,15,87,30,5,na,na,13,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1997,257,78,na,16,111,33,7,na,na,2,na,na,na,10,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1996,225,70,na,15,94,29,6,na,na,9,na,na,na,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1995,225,63,na,7,117,21,8,na,na,7,na,na,na,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1994,254,67,na,17,118,35,5,na,na,10,na,na,na,0,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1993,258,61,na,19,123,34,5,na,na,10,na,na,na,4,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1992,239,65,na,18,103,35,7,na,na,8,na,na,na,1,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1991,243,70,na,18,112,25,8,na,na,9,na,na,na,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1990,236,88,na,16,89,22,9,na,na,7,na,na,na,4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1989,230,64,na,11,110,24,6,na,na,8,na,na,na,5,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1988,226,81,na,14,101,21,3,na,na,1,na,na,na,2,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1987,205,73,na,16,86,18,4,na,na,8,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1986,251,69,na,18,115,26,13,na,na,5,na,na,na,4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1985,265,75,na,28,84,43,13,na,na,13,na,na,na,7,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1984,327,114,na,26,116,35,16,na,na,16,na,na,na,2,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1983,298,115,na,33,100,23,19,na,na,5,na,na,na,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1982,307,96,na,25,126,31,15,na,na,13,na,na,na,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1981,273,109,na,27,79,29,15,na,na,12,na,na,na,2,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
