,
Theme: Industry,
Subject: Services,
Topic: Food & Beverage Services Index (FSI),
"Table Title: Online Food & Beverage Sales Proportion, Monthly",
,
Data last updated: 05/02/2024,
Source: SINGAPORE DEPARTMENT OF STATISTICS,
,
Data Series,Food & Beverage Services (Percentage)
  2023 Dec,23.3
  2023 Nov,23.4
  2023 Oct,23.6
  2023 Sep,23
  2023 Aug,23
  2023 Jul,22.8
  2023 Jun,23.2
  2023 May,23.7
  2023 Apr,23.6
  2023 Mar,24.2
  2023 Feb,23
  2023 Jan,23.3
  2022 Dec,23.5
  2022 Nov,23.1
  2022 Oct,24
  2022 Sep,24.2
  2022 Aug,25.6
  2022 Jul,26
  2022 Jun,25.3
  2022 May,24.1
  2022 Apr,26.5
  2022 Mar,30
  2022 Feb,30.2
  2022 Jan,28.8
  2021 Dec,28.4
  2021 Nov,33.4
  2021 Oct,39.1
  2021 Sep,34.1
  2021 Aug,39.2
  2021 Jul,39.6
  2021 Jun,48.2
  2021 May,38.9
  2021 Apr,25.1
  2021 Mar,24.1
  2021 Feb,22
  2021 Jan,22.4
  2020 Dec,21.3
  2020 Nov,20.9
  2020 Oct,21.3
  2020 Sep,21.9
  2020 Aug,22.1
  2020 Jul,22.9
  2020 Jun,35.1
  2020 May,47.5
  2020 Apr,41.1
  2020 Mar,16.8
  2020 Feb,13.7
  2020 Jan,10.3
  2019 Dec,10.2
  2019 Nov,9.9
  2019 Oct,9.8
  2019 Sep,9.4
  2019 Aug,9.4
  2019 Jul,8.9
  2019 Jun,8.7
  2019 May,8.1
  2019 Apr,8.2
  2019 Mar,8.1
  2019 Feb,7.4
  2019 Jan,7.3
,
Footnotes:,
Link to latest RSI/FSI release is available via www.singstat.gov.sg/find-data/search-by-theme/industry/services/latest-data.  Relevant methodology paper is available via www.singstat.gov.sg/find-data/search-by-theme/industry/services/publications-and-methodology.,
,
Notation:,
na   not available or not applicable,
nec  not elsewhere classified,
nes  not elsewhere specified,
 -     nil or negligible or not significant,
Notes,
Numbers may not add up to the totals due to rounding.,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",
Values are shown in Singapore dollars (unless otherwise specified).,
,
Generated by: SingStat Table Builder,
Date generated: 24/02/2024,
Contact: info@singstat.gov.sg,
